Document,Category,lof_prediction,kmeans_prediction
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Issue reported to upgrade sql on the application on client machine.,ITO,Non-ITO,ITO
Kindly upgrade vmware on the system in production.,ITO,ITO,ITO
Trying to upgrade vmware on the system for testing.,ITO,Non-ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Trying to install vmware on the server at the earliest.,ITO,Non-ITO,ITO
Need help to restart oracle on the database in production.,ITO,ITO,ITO
User requested to upgrade oracle on the application as soon as possible.,ITO,ITO,ITO
Issue reported to backup jira on client machine.,ITO,Non-ITO,ITO
Issue reported to install jira on the system as soon as possible.,ITO,Non-ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Issue reported to install sql on the database in production.,ITO,Non-ITO,ITO
User requested to configure jira on the application at the earliest.,ITO,ITO,ITO
Issue reported to configure oracle on the database as soon as possible.,ITO,Non-ITO,ITO
Need help to configure oracle on the vm for testing.,ITO,ITO,ITO
Kindly upgrade jira on the database for testing.,ITO,ITO,ITO
Kindly backup sql on the vm on client machine.,ITO,ITO,ITO
User requested to restart sql on the application in production.,ITO,Non-ITO,ITO
Issue reported to restart oracle on the vm at the earliest.,ITO,Non-ITO,ITO
User requested to upgrade on client machine.,ITO,Non-ITO,ITO
Need help to backup oracle on the server as soon as possible.,ITO,ITO,ITO
Issue reported to backup sql on the vm as soon as possible.,ITO,ITO,ITO
Kindly backup jira on the vm on client machine.,ITO,Non-ITO,ITO
Need help to restart vmware on the system for testing.,ITO,ITO,ITO
Kindly restart oracle on the server on client machine.,ITO,Non-ITO,ITO
Kindly upgrade vmware on the application for testing.,ITO,Non-ITO,ITO
Need help to configure jira on the application at the earliest.,ITO,ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Trying to install oracle on the database in production.,ITO,ITO,ITO
User requested to upgrade sap on the application at the earliest.,ITO,Non-ITO,ITO
Kindly restart jira on the vm on client machine.,ITO,Non-ITO,ITO
User requested to backup vmware on the vm as soon as possible.,ITO,Non-ITO,ITO
Issue reported to upgrade oracle on the database in production.,ITO,ITO,ITO
Trying to install oracle on the database for testing.,ITO,ITO,ITO
Trying to backup oracle on the server at the earliest.,ITO,ITO,ITO
Issue reported to install vmware as soon as possible.,ITO,Non-ITO,ITO
Issue reported to restart jira on the system as soon as possible.,ITO,ITO,ITO
Issue reported to install vmware in production.,ITO,Non-ITO,ITO
Please restart jira on the vm as soon as possible.,ITO,Non-ITO,ITO
Trying to upgrade sap on the server at the earliest.,ITO,ITO,ITO
Please restart oracle on the application on client machine.,ITO,Non-ITO,ITO
User requested to sql on client machine.,ITO,Non-ITO,ITO
Issue reported to upgrade sql on the application for testing.,ITO,Non-ITO,ITO
Please upgrade oracle on the server at the earliest.,ITO,ITO,ITO
User requested to configure oracle on client machine.,ITO,ITO,ITO
Need help to oracle vm at the earliest.,ITO,Non-ITO,ITO
Need help to configure vmware on the system in production.,ITO,ITO,ITO
Trying to backup sql on the database as soon as possible.,ITO,ITO,ITO
Please backup oracle on the application at the earliest.,ITO,Non-ITO,ITO
Trying to configure oracle on the server on client machine.,ITO,Non-ITO,ITO
Please install oracle on the server on client machine.,ITO,Non-ITO,ITO
User requested to restart sql on the database on client machine.,ITO,Non-ITO,ITO
Need help to upgrade sap on the vm in production.,ITO,ITO,ITO
Need help to restart jira on the database at the earliest.,ITO,ITO,ITO
Trying to backup oracle on the vm at the earliest.,ITO,Non-ITO,ITO
User requested to install oracle on the application at the earliest.,ITO,ITO,ITO
Issue reported to restart sql on the server in production.,ITO,Non-ITO,ITO
Please install vmware on the server in production.,ITO,Non-ITO,ITO
Trying to upgrade sap on the server on client machine.,ITO,Non-ITO,ITO
User requested to backup oracle on the application at the earliest.,ITO,Non-ITO,ITO
User requested to configure vmware on the application in production.,ITO,ITO,ITO
Trying to upgrade sql on the vm on client machine.,ITO,ITO,ITO
User requested to install sql on the application as soon as possible.,ITO,ITO,ITO
Kindly upgrade jira on the server at the earliest.,ITO,Non-ITO,ITO
Kindly restart oracle on the system on client machine.,ITO,Non-ITO,ITO
Trying to backup vmware on the application at the earliest.,ITO,Non-ITO,ITO
Trying to restart vmware on the vm as soon as possible.,ITO,ITO,ITO
Trying to restart sql on the server as soon as possible.,ITO,ITO,ITO
Need help to vmware in production.,ITO,ITO,ITO
Kindly install vmware on the application at the earliest.,ITO,ITO,ITO
Please upgrade vmware on the vm as soon as possible.,ITO,Non-ITO,ITO
Issue reported to sql server in production.,ITO,Non-ITO,ITO
User requested to upgrade vmware on the system as soon as possible.,ITO,Non-ITO,ITO
User requested to restart vmware on the database at the earliest.,ITO,ITO,ITO
Need help to vmware server in production.,ITO,ITO,ITO
Issue reported to restart vmware on the database as soon as possible.,ITO,ITO,ITO
Trying to install sql on the vm as soon as possible.,ITO,Non-ITO,ITO
Issue reported to backup oracle on the database in production.,ITO,ITO,ITO
Please configure vmware on the server for testing.,ITO,Non-ITO,ITO
User requested to configure oracle on the server at the earliest.,ITO,ITO,ITO
Issue reported to restart oracle for testing.,ITO,ITO,ITO
Trying to configure jira on the system on client machine.,ITO,Non-ITO,ITO
Kindly upgrade jira on the database as soon as possible.,ITO,ITO,ITO
Issue reported to General query regarding office timings on client machine.,ITO,Non-ITO,ITO
Issue reported to install oracle on the system in production.,ITO,Non-ITO,ITO
Need help to backup vmware on the server at the earliest.,ITO,Non-ITO,ITO
User requested to upgrade sql on the server as soon as possible.,ITO,ITO,ITO
Need help to restart jira on the vm for testing.,ITO,ITO,ITO
Need help to configure vmware on the database on client machine.,ITO,ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Trying to backup sql on the server in production.,ITO,ITO,ITO
User requested to restart vmware on the application at the earliest.,ITO,Non-ITO,ITO
Trying to upgrade sap on the server at the earliest.,ITO,ITO,ITO
Trying to restart vmware on the system as soon as possible.,ITO,Non-ITO,ITO
Issue reported to upgrade sql on the application at the earliest.,ITO,Non-ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
Kindly restart oracle on the database in production.,ITO,ITO,ITO
Trying to install jira on the database for testing.,ITO,Non-ITO,ITO
Kindly upgrade sap on the vm for testing.,ITO,Non-ITO,ITO
Kindly backup vmware on the application as soon as possible.,ITO,ITO,ITO
Issue reported to General query regarding office timings as soon as possible.,ITO,Non-ITO,ITO
User requested to backup sql on the server as soon as possible.,ITO,ITO,ITO
Need help to General query regarding office timings on client machine.,ITO,ITO,ITO
Issue reported to General query regarding office timings for testing.,ITO,ITO,ITO
Issue reported to backup sql at the earliest.,ITO,Non-ITO,ITO
Kindly configure vmware on the system for testing.,ITO,Non-ITO,ITO
Issue reported to backup vmware on the vm as soon as possible.,ITO,ITO,ITO
Please configure sql on the system on client machine.,ITO,ITO,ITO
Please General query regarding office timings on client machine.,ITO,ITO,ITO
Please upgrade sql on the vm for testing.,ITO,Non-ITO,ITO
Issue reported to configure jira on the database at the earliest.,ITO,ITO,ITO
Trying to upgrade oracle on the server on client machine.,ITO,Non-ITO,ITO
Issue reported to install vmware on the vm for testing.,ITO,Non-ITO,ITO
Trying to General query regarding office timings on client machine.,ITO,ITO,ITO
Need help to restart jira on the server at the earliest.,ITO,ITO,ITO
Trying to configure jira on the application as soon as possible.,ITO,ITO,ITO
Need help to upgrade vmware on the server for testing.,ITO,Non-ITO,ITO
Trying to upgrade jira on the application in production.,ITO,ITO,ITO
Kindly configure sql on the vm in production.,ITO,ITO,ITO
Need help to configure sql on the system on client machine.,ITO,ITO,ITO
Trying to upgrade jira on the database in production.,ITO,ITO,ITO
User requested to backup vmware for testing.,ITO,Non-ITO,ITO
Issue reported to upgrade sql on the server in production.,ITO,Non-ITO,ITO
User requested to backup vmware on the server on client machine.,ITO,Non-ITO,ITO
Kindly upgrade on client machine.,ITO,Non-ITO,ITO
User requested to vmware application for testing.,ITO,Non-ITO,ITO
User requested to General query regarding office timings on client machine.,ITO,Non-ITO,ITO
Need help to restart sql on the application for testing.,ITO,Non-ITO,ITO
User requested to restart jira on the vm at the earliest.,ITO,ITO,ITO
Trying to upgrade vm as soon as possible.,ITO,ITO,ITO
Kindly install jira on the database on client machine.,ITO,ITO,ITO
Issue reported to restart vmware on the server in production.,ITO,Non-ITO,ITO
User requested to General query regarding office timings on client machine.,ITO,Non-ITO,ITO
Issue reported to configure sql on the system on client machine.,ITO,ITO,ITO
User requested to install sql on the server on client machine.,ITO,ITO,ITO
Please upgrade vmware on the server in production.,ITO,Non-ITO,ITO
Issue reported to install jira on the database in production.,ITO,ITO,ITO
Please install jira on the vm at the earliest.,ITO,Non-ITO,ITO
Issue reported to install sql on the vm in production.,ITO,Non-ITO,ITO
Kindly General query regarding office timings on client machine.,ITO,ITO,ITO
User requested to restart jira on the application at the earliest.,ITO,Non-ITO,ITO
User requested to upgrade sap on the application as soon as possible.,ITO,ITO,ITO
Issue reported to upgrade vmware for testing.,ITO,Non-ITO,ITO
User requested to backup vmware on the server as soon as possible.,ITO,ITO,ITO
Need help to sql server as soon as possible.,ITO,Non-ITO,ITO
User requested to install vmware on the server for testing.,ITO,Non-ITO,ITO
Issue reported to General query regarding office timings in production.,ITO,ITO,ITO
User requested to restart vmware for testing.,ITO,Non-ITO,ITO
Issue reported to upgrade sql on the vm on client machine.,ITO,Non-ITO,ITO
Kindly restart sql on the vm at the earliest.,ITO,ITO,ITO
